Year,SSN
1945,32.3
1946,99.9
1947,170.9
1948,166.6
1949,174.1
1950,103.7
1951,64.4
1952,30.5
1953,12.5
1954,3.4
1955,34.6
1956,125.9
1957,168.3
1958,172.1
1959,145.0
1960,102.1
1961,44.7
1962,29.8
1963,22.2
1964,7.4
1965,12.1
1966,38.7
1967,86.3
1968,97.5
1969,104.6
1970,107.4
1971,66.5
1972,67.3
1973,36.7
1974,32.3
1975,14.4
1976,11.6
1977,26.0
1978,86.9
1979,145.8
1980,149.1
1981,146.5
1982,114.8
1983,64.7
1984,43.5
1985,16.2
1986,11.0
1987,29.0
1988,100.9
1989,162.2
1990,145.1
1991,144.3
1992,93.5
1993,54.5
1994,31.0
1995,18.2
1996,8.4
1997,20.3
1998,61.6
1999,96.1
2000,123.3
2001,123.3
2002,109.4
2003,65.9
2004,43.3
2005,30.2
2006,15.4
2007,7.9
2008,2.4
2009,2.8
2010,15.6
2011,50.1
2012,52.8
2013,60.7
2014,74.7
2015,46.1
2016,25.5
